# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 718  of event 'cpu-clock'
# Event count (approx.): 7252525180
#
# Overhead  Command  Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ..................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.14%  python    (deleted)          [.] 0x0000000000144628
     0.14%  python    (deleted)          [.] 0x000000000014463a
     0.14%  python    (deleted)          [.] 0x0000000000144668
     0.14%  python    (deleted)          [.] 0x0000000000144672
     0.14%  python    (deleted)          [.] 0x0000000000144684
     0.14%  python    (deleted)          [.] 0x000000000014468a
     0.14%  python    (deleted)          [.] 0x000000000014477a
     0.14%  python    (deleted)          [.] 0x0000000000144786
     0.14%  python    (deleted)          [.] 0x0000000000144802
     0.14%  python    (deleted)          [.] 0x0000000000144866
     0.14%  python    (deleted)          [.] 0x00000000001448e8
     0.14%  python    (deleted)          [.] 0x0000000000144926
     0.14%  python    (deleted)          [.] 0x00000000001449b8
     0.14%  python    (deleted)          [.] 0x0000000000144a22
     0.14%  python    (deleted)          [.] 0x0000000000144a2e
     0.14%  python    (deleted)          [.] 0x0000000000144a60
     0.14%  python    (deleted)          [.] 0x0000000000144a7a
     0.14%  python    (deleted)          [.] 0x0000000000144c36
     0.14%  python    (deleted)          [.] 0x0000000000144c8a
     0.14%  python    (deleted)          [.] 0x0000000000144cd0
     0.14%  python    (deleted)          [.] 0x0000000000144d46
     0.14%  python    (deleted)          [.] 0x0000000000144d78
     0.14%  python    (deleted)          [.] 0x0000000000145064
     0.14%  python    (deleted)          [.] 0x0000000000145106
     0.14%  python    (deleted)          [.] 0x0000000000145124
     0.14%  python    (deleted)          [.] 0x00000000001451ba
     0.14%  python    (deleted)          [.] 0x00000000001451d4
     0.14%  python    (deleted)          [.] 0x00000000001453bc
     0.14%  python    (deleted)          [.] 0x000000000014544c
     0.14%  python    (deleted)          [.] 0x000000000014592c
     0.14%  python    (deleted)          [.] 0x000000000014599c
     0.14%  python    (deleted)          [.] 0x0000000000145a76
     0.14%  python    (deleted)          [.] 0x0000000000145b44
     0.14%  python    (deleted)          [.] 0x0000000000145b6a
     0.14%  python    (deleted)          [.] 0x0000000000145d18
     0.14%  python    (deleted)          [.] 0x0000000000145dd8
     0.14%  python    (deleted)          [.] 0x0000000000146154
     0.14%  python    (deleted)          [.] 0x000000000014622a
     0.14%  python    (deleted)          [.] 0x0000000000146268
     0.14%  python    (deleted)          [.] 0x000000000014660c
     0.14%  python    (deleted)          [.] 0x00000000001468aa
     0.14%  python    (deleted)          [.] 0x0000000000147904
     0.14%  python    (deleted)          [.] 0x0000000000147d02
     0.14%  python    (deleted)          [.] 0x0000000000147d8a
     0.14%  python    (deleted)          [.] 0x0000000000147e96
     0.14%  python    (deleted)          [.] 0x0000000000148748
     0.14%  python    (deleted)          [.] 0x0000000000148896
     0.14%  python    (deleted)          [.] 0x000000000014970a
     0.14%  python    (deleted)          [.] 0x000000000014a892
     0.14%  python    (deleted)          [.] 0x000000000014adb0
     0.14%  python    (deleted)          [.] 0x000000000014c922
     0.14%  python    (deleted)          [.] 0x000000000014ede4
     0.14%  python    (deleted)          [.] 0x000000000014f516
     0.14%  python    (deleted)          [.] 0x000000000014f53e
     0.14%  python    (deleted)          [.] 0x000000000014f59a
     0.14%  python    (deleted)          [.] 0x000000000014f8d2
     0.14%  python    (deleted)          [.] 0x0000000000150f6a
     0.14%  python    (deleted)          [.] 0x0000000000151082
     0.14%  python    (deleted)          [.] 0x00000000001515b8
     0.14%  python    (deleted)          [.] 0x00000000001520ce
     0.14%  python    (deleted)          [.] 0x000000000015211c
     0.14%  python    (deleted)          [.] 0x00000000001522e0
     0.14%  python    (deleted)          [.] 0x0000000000152434
     0.14%  python    (deleted)          [.] 0x000000000015245c
     0.14%  python    (deleted)          [.] 0x0000000000152718
     0.14%  python    (deleted)          [.] 0x00000000001527ac
     0.14%  python    (deleted)          [.] 0x00000000001527b0
     0.14%  python    (deleted)          [.] 0x00000000001527b8
     0.14%  python    (deleted)          [.] 0x0000000000152824
     0.14%  python    (deleted)          [.] 0x0000000000154b6a
     0.14%  python    (deleted)          [.] 0x0000000000154dce
     0.14%  python    (deleted)          [.] 0x0000000000154ea6
     0.14%  python    (deleted)          [.] 0x00000000001552f8
     0.14%  python    (deleted)          [.] 0x0000000000155376
     0.14%  python    (deleted)          [.] 0x0000000000155692
     0.14%  python    (deleted)          [.] 0x0000000000155bbc
     0.14%  python    (deleted)          [.] 0x00000000001571b6
     0.14%  python    (deleted)          [.] 0x00000000001571c8
     0.14%  python    (deleted)          [.] 0x00000000001572cc
     0.14%  python    (deleted)          [.] 0x00000000001572f0
